term,coef,or,ci_low,ci_high,pvalue,stderr
const,-2.4579269854668135,0.08561224256285473,0.08219740526772423,0.08916894703389219,0.0,0.020768013268897264
maternal_age,0.04920630557023662,1.0504370393996318,1.0490854001281469,1.051790420120116,0.0,0.0006569347652679216
year_c,-0.009548293753478805,0.9904971464628075,0.9879357621191863,0.993065171612448,4.91839555015284e-13,0.0013210996288565875
tobacco,0.1875387994688358,1.2062770514218923,1.1696311261844154,1.2440711367984483,9.93653837760034e-33,0.015740277565373533
obesity,0.5334638180806563,1.7048273047700524,1.680083210401398,1.7299358276398273,0.0,0.00745957375061544
diabetes,0.2963076300850354,1.3448838199250706,1.3141655527045895,1.3763201184005078,2.0847498360141672e-139,0.011788852620417954
hypertension,0.3815038001625638,1.464485227482745,1.4346425435194325,1.4949486833520327,8.180708602458935e-289,0.010504315761061495
multiple,1.8031025094622692,6.0684456986859,5.833228746111245,6.313147452420701,0.0,0.020169680112254992
race_eth_Hispanic,0.1228684987959693,1.1307357180620337,1.1107798875257413,1.1510500671282937,1.1220230630040572e-41,0.009084926532544075
race_eth_NH AIAN,-0.1220367514947371,0.8851158385747859,0.8164717042053441,0.9595311676580925,0.0030470932114003914,0.04118762961891438
race_eth_NH Asian,0.13163839238801103,1.1406957604095913,1.1090621267224086,1.1732316760845398,4.557843894843731e-20,0.01434907239194643
race_eth_NH Black,0.2194826424538113,1.2454322301206469,1.2199529933045592,1.271443611627795,3.4127088184314803e-96,0.010546272631652231
race_eth_NH Multiracial,0.015590680887999277,1.015712849625478,0.9709055874004626,1.062587965588442,0.4982210760613016,0.023019162086332322
race_eth_NH NHOPI,0.019006561413561593,1.019188335911638,0.8925188067156529,1.1638352673830739,0.7789446444431549,0.06771259883367081
education_Associate,-0.01729913255929674,0.9828496383299729,0.9567573325835381,1.0096535230693033,0.20762022078706932,0.013727985975642088
education_Bachelor's,-0.07355381932590306,0.9290861416560872,0.908614067078738,0.9500194745967896,9.786882790426665e-11,0.011368078433867662
education_Graduate,-0.07267228910531849,0.9299055202679263,0.9059645399521549,0.9544791639090308,4.737905681930141e-08,0.013307807659319052
education_Less than HS,-0.10882764816559118,0.8968849839501846,0.8752154190910655,0.919091068197492,2.753869476317999e-18,0.012478587211551912
education_Some college,-0.002534861195757662,0.9974683488519686,0.9774260932462109,1.0179215736476652,0.8066360639098282,0.010356178418406378
pnc_timing_2nd trimester,-0.04312576693428195,0.957790924063667,0.9400085202282271,0.9759097226012419,6.474668166810043e-06,0.009561692408699972
pnc_timing_3rd trimester,0.025449685448802033,1.0257762934981818,0.9920252517673435,1.0606756253717229,0.13598526288887539,0.01706990655099842
pnc_timing_No PNC,-0.03184403364150773,0.9686576483042986,0.9186731878730049,1.0213617334264926,0.23878326729143617,0.02703151882522828
payment_Medicaid,-0.010822749315462015,0.9892356059248005,0.9723939573163968,1.0063689481679856,0.216713605911659,0.008761131109988595
payment_Other,-0.07261928982551714,0.9299548058968236,0.8956084348100449,0.9656183521697437,0.00015550074360956215,0.019200703032415986
payment_Self-pay,-0.47408101489310583,0.6224568222519933,0.5985411255507412,0.6473281100133917,2.448047376497743e-124,0.01998966684606036
