term,coef,or,ci_low,ci_high,pvalue,stderr
const,-1.5289032263121611,0.21677328822275724,0.20819352750462247,0.2257066252257206,0.0,0.020604452512872986
maternal_age,0.01214817691708874,1.012222265728993,1.0109157489759812,1.0135304710361972,6.900648253881922e-76,0.0006589787912697551
year_c,0.008722086397102988,1.0087602346227076,1.006081946261878,1.0114456528486246,1.2746790207767186e-10,0.001356433353486072
tobacco,0.39404008602385415,1.4829599934529651,1.4400256186652562,1.5271744569519565,2.6672690591033756e-152,0.014989653935570306
obesity,0.0737947964178717,1.0765858635522865,1.0603792953379632,1.0930401288448535,1.4921497963147815e-21,0.007738982260587026
diabetes,0.45119724282667595,1.570190960454742,1.5356849873610463,1.6054722632475242,0.0,0.011337308064350767
hypertension,0.9166369543752512,2.5008657061075596,2.4542735137723453,2.548342409632916,0.0,0.009595154880760737
multiple,2.0682241137057193,7.910762022238846,7.673633418156297,8.155218312152869,0.0,0.01552778142491214
race_eth_Hispanic,0.008662904967678946,1.0087005365166035,0.9902817992587966,1.027461852909386,0.356874569096879,0.009402537880539054
race_eth_NH AIAN,-0.03066579778480292,0.9697996281070659,0.8958730902066073,1.0498265088637737,0.4484396993424885,0.04045519166382556
race_eth_NH Asian,0.005643630622390441,1.0056595859068138,0.9756478282523647,1.0365945307722904,0.7150417441817863,0.015458049359316576
race_eth_NH Black,0.2934573420449364,1.3410559714846282,1.314086694390167,1.3685787447145443,2.4771466330716836e-176,0.010365214286231774
race_eth_NH Multiracial,0.10034568354656002,1.1055530235181403,1.0569645254116848,1.1563751274755787,1.2091865325242857e-05,0.022931308511037907
race_eth_NH NHOPI,0.12080923234302585,1.1284096277725308,0.9894634861224083,1.286867384100941,0.07155022601483144,0.06704288922733911
education_Associate,-0.04068836517230508,0.9601282927456791,0.9337722299339964,0.9872282650726217,0.0041690238401595634,0.014201470387984512
education_Bachelor's,-0.10916354959322719,0.8965837695956484,0.8761718043300886,0.9174712675409218,1.535188702454507e-20,0.01174997816256804
education_Graduate,-0.11719783378525656,0.8894092205645763,0.8654200164908026,0.9140633987562663,4.427900009475614e-17,0.013950505281374996
education_Less than HS,0.01628302267472919,1.016416313565233,0.9923944909067218,1.0410196065655533,0.18209346621547606,0.012203081957789512
education_Some college,-0.010821298385539349,0.989237041237383,0.9691705879387631,1.0097189658193837,0.3006974115834653,0.010455977261420519
pnc_timing_2nd trimester,0.04124784722935901,1.04211035770546,1.0226218097355455,1.06197030739824,1.848595806596615e-05,0.009631868857318425
pnc_timing_3rd trimester,0.018929481631512795,1.0191097801244096,0.9852232085852164,1.054161874075859,0.2725850257780327,0.017253652454443574
pnc_timing_No PNC,0.9069928156447461,2.4768629393377974,2.370711738240393,2.5877671761217695,0.0,0.0223486729520795
payment_Medicaid,0.09749166114917554,1.1024022487570966,1.0832534879346718,1.121889503796358,1.0939891299329458e-27,0.0089402967478006
payment_Other,0.003894640828643562,1.003902234797629,0.9660167388549763,1.0432735339826997,0.842708644253821,0.019627277870718864
payment_Self-pay,-0.21412990310806698,0.8072435147698075,0.7759281519032527,0.8398227213943941,2.752760169621183e-26,0.020186823861555344
