term,coef,or,ci_low,ci_high,pvalue,stderr
const,-1.4614331722065248,0.2319036785462013,0.22237161046656598,0.24184434339627944,0.0,0.021414782954248042
maternal_age,0.004896373767115665,1.0049083805937877,1.0035566547275567,1.0062619271472804,1.0062407062167015e-12,0.0006867620984420378
year_c,0.010444830021273407,1.0104995676675044,1.0076698411834975,1.0133372405558265,2.8742687098514817e-13,0.0014307673789437747
tobacco,0.731120311848721,2.0774066477678055,2.017634319828632,2.1389497282919034,0.0,0.014895485718521676
obesity,-0.2100475423932317,0.8105457097712766,0.7973254486145345,0.8239851728929831,2.582122381600328e-138,0.008390357795588128
diabetes,0.0318835204957586,1.0323972451820356,1.0063039096667827,1.0591671776495322,0.014642816522956448,0.013061157020228404
hypertension,1.1523163950888815,3.165517011717595,3.1044674155186867,3.2277671530333296,0.0,0.009936008703120357
multiple,3.061047694503017,21.349913635760668,20.643593366332674,22.080400643709027,0.0,0.01716494389802241
race_eth_Hispanic,0.163862633519421,1.1780524790545681,1.1552047709548146,1.2013520704727916,1.9601815709548388e-60,0.00999253789577151
race_eth_NH AIAN,0.08004357628539485,1.083334274329922,0.9952652077599805,1.179196399901652,0.06427659956895262,0.04326080164281338
race_eth_NH Asian,0.5262301874847011,1.692539709359913,1.6424294701140667,1.7441788033437964,4.1776454141127805e-258,0.015333780537258342
race_eth_NH Black,0.7841117467977778,2.190460392889198,2.145903194876004,2.235942769586839,0.0,0.01048550551575506
race_eth_NH Multiracial,0.2664199846004624,1.3052831424045641,1.245462687780613,1.3679768158142125,8.892788042263657e-29,0.023935586226123514
race_eth_NH NHOPI,0.13712059764528026,1.1469664616346011,0.9939388460432728,1.3235543306829596,0.06055191903117474,0.0730626665021962
education_Associate,-0.146917751028476,0.8633649853782106,0.8383070821497713,0.8891718963719137,1.4176268053929812e-22,0.01502734149687048
education_Bachelor's,-0.29960157509635094,0.7411134399173569,0.7230615426551259,0.759616019418294,2.461685541706299e-125,0.012581539408921054
education_Graduate,-0.3178205782734092,0.7277333478754168,0.7065760726465066,0.7495241434179081,6.030338826855833e-99,0.015053250593806406
education_Less than HS,0.08500658541268544,1.0887242363731882,1.0629136833325217,1.1151615427040904,3.806328236617942e-12,0.012241393486471627
education_Some college,-0.09353146391535765,0.9107093624931065,0.8915091649408687,0.9303230696317201,7.750859789000411e-18,0.010871678063771775
pnc_timing_2nd trimester,0.024311585168768912,1.0246095212891297,1.0048033150855056,1.0448061380321014,0.014642344497714151,0.009959248918487255
pnc_timing_3rd trimester,-0.18340670317095403,0.8324295351511837,0.8026138389792111,0.863352832133217,6.502767479533004e-23,0.018609972290022907
pnc_timing_No PNC,0.8740990632968434,2.396715032444036,2.292416746962444,2.505758586153499,0.0,0.022700648864642445
payment_Medicaid,0.10654886323130651,1.1124322821535917,1.0921182622424608,1.1331241543717634,9.18569081572426e-30,0.009403077383573865
payment_Other,0.01342188361068452,1.0135123614316113,0.9734030066966546,1.0552744338242976,0.5147316815851719,0.020601897104437994
payment_Self-pay,-0.17728814541416427,0.8375384168961615,0.8037468759577987,0.8727506392370221,3.242664674188226e-17,0.021011990619094305
