outcome,stratifier,level,n,events,rate_per_100,ref_level,ref_rate_per_100,risk_ratio,rate_diff_pp
nicu,race_eth,NH Black,4780675,603297,12.619494109095474,NH White,8.876543731102792,1.4216675421625697,3.742950377992681
nicu,race_eth,NH AIAN,249407,25428,10.195383449542314,NH White,8.876543731102792,1.1485758149107517,1.3188397184395217
nicu,race_eth,NH NHOPI,90428,9216,10.191533595788915,NH White,8.876543731102792,1.148142104012679,1.3149898646861224
nicu,race_eth,NH Multiracial,774603,75504,9.747444820120759,NH White,8.876543731102792,1.0981126343090486,0.8709010890179663
nicu,race_eth,NH White,17243288,1530608,8.876543731102792,NH White,8.876543731102792,1.0,0.0
nicu,race_eth,Hispanic,8199136,710642,8.667279088918637,NH White,8.876543731102792,0.9764249860617588,-0.20926464218415575
nicu,race_eth,NH Asian,2129107,177996,8.360124690774112,NH White,8.876543731102792,0.9418220586781786,-0.5164190403286799
