year,n_births,preterm_n,preterm_events,preterm_rate,lbw_n,lbw_events,lbw_rate,vlbw_n,vlbw_events,vlbw_rate,cesarean_n,cesarean_events,cesarean_rate,nicu_n,nicu_events,nicu_rate,low_apgar5_n,low_apgar5_events,low_apgar5_rate,infection_n,infection_events,infection_rate,ab_anti_n,ab_anti_events,ab_anti_rate,low_risk_cesarean_n,low_risk_cesarean_events,low_risk_cesarean_rate
2016,3945875,3942421,388218,9.847197952730061,3941357,321839,8.165690141745596,3941357,55110,1.3982493846662456,3943384,1258581,31.916267855222824,3941474,344454,8.739217866209444,3929858,79354,2.0192587111290026,3936251,103450,2.628135248488981,3941474,92144,2.337805602675547,1345738,382501,28.423140314087885
2017,3855500,3852741,382726,9.933862670758298,3852498,318873,8.27704517951729,3852498,54135,1.4051921636299356,3853349,1232339,31.98098589045529,3852068,345929,8.980345102942108,3840848,77298,2.012524317546542,3845524,104569,2.7192393026281985,3852068,88816,2.305670616406564,1308596,374389,28.60997588254893
2018,3791712,3789205,379777,10.022603685997458,3788780,313752,8.281082564836174,3788780,52171,1.3769867873035648,3790168,1208176,31.876581724081888,3788318,346812,9.154775285496097,3776768,75401,1.9964424608554192,3783252,104592,2.7646056884394694,3788318,81016,2.1385744280179226,1287391,367551,28.550067539698507
2019,3747540,3745134,383061,10.228232154043086,3743872,311245,8.313451955622414,3743872,51733,1.381804719819481,3745279,1186397,31.677132731633613,3744144,349290,9.3289681166109,3733021,77195,2.0678962159602103,3738069,104957,2.807786587138975,3744144,76182,2.0346973834339703,1280735,361493,28.225433052114607
2020,3613647,3611169,364487,10.093324350092725,3610670,297604,8.242348373016643,3610670,48326,1.3384219549280327,3611596,1148692,31.805661541324113,3609850,337136,9.339335429449978,3598344,75650,2.1023559726363015,3602218,101727,2.824010096001963,3609850,70806,1.9614665429311466,1251995,357137,28.525433408280385
2021,3664292,3661300,383979,10.48750443831426,3660961,311932,8.520495028491153,3660961,50551,1.3808123058399147,3661401,1174545,32.079113978501674,3658578,351775,9.615074490690098,3647776,79629,2.182946540577053,3649446,101270,2.774941730881893,3658578,70892,1.9376927319849406,1260629,365698,29.009169232184885
2022,3667758,3665087,380548,10.383055027070299,3664768,315288,8.603218539345464,3664768,49871,1.3608228406272922,3665029,1178066,32.143429151583796,3660748,347580,9.494780848067116,3651658,80004,2.1908952043154097,3649517,96629,2.6477202325677616,3660748,68149,1.861614074500621,1276776,372392,29.166588344392437
2023,3596017,3593375,373902,10.405315337252583,3593102,308263,8.579300003172746,3593102,48832,1.3590485324379882,3593396,1161896,32.334204190131004,3589483,351804,9.800965765821987,3580941,80381,2.2446893149035407,3578469,95401,2.665972515061609,3589483,68477,1.9077120576974456,1274178,374525,29.39345994044788
2024,3628934,3624477,377204,10.407129083727114,3625941,308966,8.52098806902815,3625941,48133,1.3274623056470032,3623910,1173391,32.37914296988612,3621981,357911,9.881636596105833,3610783,81849,2.266793656666712,3614653,92574,2.561075710448555,3621981,67539,1.8646977993534477,1292902,380600,29.437652660449128
