outcome,stratifier,level,n,events,rate_per_100,ref_level,ref_rate_per_100,risk_ratio,rate_diff_pp
cesarean,race_eth,NH Black,4783237,1742113,36.4212143366511,NH White,30.915843472136345,1.1780760363040588,5.505370864514752
cesarean,race_eth,NH Asian,2130519,709877,33.319440004994085,NH White,30.915843472136345,1.0777464323437929,2.4035965328577404
cesarean,race_eth,NH NHOPI,90476,28749,31.775277421636677,NH White,30.915843472136345,1.027799142865855,0.8594339495003318
cesarean,race_eth,Hispanic,8205120,2600892,31.698402948402947,NH White,30.915843472136345,1.0253125707850055,0.7825594762666022
cesarean,race_eth,NH White,17253516,5334070,30.915843472136345,NH White,30.915843472136345,1.0,0.0
cesarean,race_eth,NH Multiracial,774995,234160,30.214388479925677,NH White,30.915843472136345,0.977310824695989,-0.7014549922106674
cesarean,race_eth,NH AIAN,249649,72222,28.929416901329468,NH White,30.915843472136345,0.9357472949881768,-1.9864265708068771
