outcome,stratifier,level,n,events,rate_per_100,ref_level,ref_rate_per_100,risk_ratio,rate_diff_pp
preterm,race_eth,NH Black,4782213,686592,14.357202408173789,NH White,9.2844766052306,1.5463663724550036,5.072725802943189
preterm,race_eth,NH AIAN,249239,29828,11.967629464088686,NH White,9.2844766052306,1.2889934428125414,2.6831528588580866
preterm,race_eth,NH NHOPI,90361,10748,11.894512012925931,NH White,9.2844766052306,1.281118206084435,2.6100354076953316
preterm,race_eth,NH Multiracial,774821,82587,10.658848947047124,NH White,9.2844766052306,1.1480290597148195,1.3743723418165246
preterm,race_eth,Hispanic,8204770,812492,9.902678563811051,NH White,9.2844766052306,1.06658447049478,0.6182019585804515
preterm,race_eth,NH White,17252895,1601841,9.2844766052306,NH White,9.2844766052306,1.0,0.0
preterm,race_eth,NH Asian,2130610,189814,8.908904022791594,NH White,9.2844766052306,0.9595483301420116,-0.3755725824390055
