outcome,stratifier,level,n,events,rate_per_100,ref_level,ref_rate_per_100,risk_ratio,rate_diff_pp
lbw,race_eth,NH Black,4780504,684475,14.318050983745646,NH White,7.00028315976152,2.0453531174349555,7.317767823984126
lbw,race_eth,NH Multiracial,774802,70449,9.0925165397095,NH White,7.00028315976152,1.2988783928019358,2.09223337994798
lbw,race_eth,NH Asian,2130142,190382,8.937526230645657,NH White,7.00028315976152,1.2767378156957487,1.9372430708841373
lbw,race_eth,NH NHOPI,90464,7770,8.589051998585072,NH White,7.00028315976152,1.226957796215443,1.588768838823552
lbw,race_eth,NH AIAN,249550,20685,8.288920056100983,NH White,7.00028315976152,1.1840835387555042,1.2886368963394625
lbw,race_eth,Hispanic,8204742,626330,7.633756186361497,NH White,7.00028315976152,1.0904924861098844,0.6334730265999768
lbw,race_eth,NH White,17251745,1207671,7.00028315976152,NH White,7.00028315976152,1.0,0.0
